iter	Passed	Remaining
0	262	1048693
1	561	1122426
2	886	1180892
3	1199	1198354
4	1516	1211652
5	1814	1208126
6	2119	1208843
7	2398	1196861
8	2681	1188910
9	2932	1170134
10	3208	1163544
11	3467	1152323
12	3727	1143210
13	4003	1139995
14	4262	1132368
15	4513	1123960
16	4769	1117403
17	5031	1113172
18	5295	1109451
19	5558	1106123
20	5863	1111071
21	6133	1108970
22	6399	1106603
23	6656	1102677
24	6917	1099828
25	7176	1096834
26	7437	1094377
27	7692	1091174
28	7939	1087115
29	8184	1083050
30	8437	1080270
31	8683	1076800
32	8958	1076922
33	9217	1075173
34	9473	1073189
35	9728	1071218
36	9997	1070825
37	10264	1070235
38	10535	1070033
39	10787	1067916
40	11057	1067723
41	11326	1067392
42	11576	1065343
43	11823	1063014
44	12076	1061429
45	12331	1059936
46	12579	1058045
47	12840	1057213
48	13094	1055804
49	13340	1053880
50	13596	1052785
51	13837	1050570
52	14087	1049117
53	14354	1048945
54	14612	1048130
55	14872	1047454
56	15132	1046792
57	15387	1045824
58	15649	1045324
59	15906	1044500
60	16164	1043820
61	16419	1042903
62	16672	1041897
63	16921	1040694
64	17177	1039873
65	17439	1039517
66	17691	1038512
67	17948	1037818
68	18215	1037771
69	18474	1037187
70	18729	1036472
71	18995	1036325
72	19267	1036512
73	19527	1035992
74	19788	1035577
75	20051	1035296
76	20306	1034562
77	20562	1033928
78	20826	1033688
79	21097	1033755
80	21350	1032974
81	21647	1034308
82	21921	1034531
83	22184	1034226
84	22454	1034237
85	22716	1033843
86	22965	1032905
87	23250	1033603
88	23511	1033199
89	23774	1032859
90	24049	1033054
91	24307	1032530
92	24570	1032231
93	24833	1031900
94	25101	1031813
95	25366	1031590
96	25656	1032339
97	25935	1032653
98	26224	1033364
99	26480	1032725
100	26741	1032330
101	27005	1032020
102	27264	1031543
103	27512	1030654
104	27773	1030283
105	28030	1029736
106	28298	1029596
107	28567	1029470
108	28834	1029323
109	29097	1028977
110	29352	1028377
111	29625	1028426
112	29888	1028125
113	30132	1027162
114	30390	1026661
115	30641	1025962
116	30884	1024988
117	31143	1024574
118	31404	1024209
119	31666	1023872
120	31913	1023085
121	32164	1022408
122	32416	1021768
123	32670	1021222
124	32957	1021685
125	33235	1021857
126	33493	1021425
127	33755	1021118
128	34021	1020900
129	34275	1020346
130	34528	1019787
131	34791	1019504
132	35051	1019137
133	35323	1019101
134	35573	1018446
135	35829	1017982
136	36075	1017218
137	36325	1016577
138	36592	1016418
139	36849	1015981
140	37126	1016121
141	37394	1015966
142	37657	1015711
143	37970	1016776
144	38229	1016384
145	38490	1016047
146	38758	1015905
147	39030	1015854
148	39296	1015648
149	39561	1015413
150	39820	1015024
151	40083	1014738
152	40325	1013941
153	40590	1013713
154	40844	1013208
155	41134	1013601
156	41420	1013889
157	41705	1014117
158	42025	1015221
159	42420	1018081
160	42706	1018330
161	43003	1018806
162	43284	1018923
163	43553	1018720
164	43837	1018900
165	44114	1018883
166	44363	1018244
167	44622	1017826
168	44902	1017878
169	45178	1017833
170	45442	1017532
171	45686	1016782
172	45926	1015949
173	46171	1015245
174	46413	1014476
175	46652	1013629
176	46904	1013079
177	47144	1012288
178	47388	1011565
179	47641	1011066
180	47892	1010496
181	48144	1009976
182	48413	1009805
183	48669	1009365
184	48922	1008862
185	49177	1008392
186	49443	1008173
187	49700	1007759
188	49958	1007369
189	50209	1006842
190	50456	1006226
191	50701	1005586
192	50960	1005222
193	51210	1004672
194	51457	1004084
195	51701	1003425
196	51972	1003315
197	52224	1002824
198	52498	1002741
199	52739	1002052
200	53007	1001873
201	53277	1001719
202	53528	1001214
203	53788	1000888
204	54086	1001265
205	54357	1001127
206	54606	1000594
207	54869	1000320
