iter	RMSE
0	1.907629203
1	1.863290058
2	1.82532039
3	1.786676991
4	1.750764681
5	1.716189149
6	1.684011291
7	1.656787197
8	1.631238721
9	1.606742516
10	1.582575963
11	1.560016544
12	1.539552095
13	1.520586204
14	1.501545294
15	1.484904594
16	1.467914487
17	1.452114583
18	1.437258237
19	1.423915101
20	1.410129151
21	1.397871647
22	1.385416278
23	1.373292266
24	1.362876596
25	1.35351857
26	1.343241176
27	1.334120808
28	1.324369552
29	1.314392267
30	1.307618058
31	1.298302047
32	1.291087158
33	1.284495711
34	1.278279327
35	1.271966387
36	1.265270691
37	1.259181692
38	1.252632226
39	1.247032652
40	1.242286455
41	1.237957509
42	1.233763857
43	1.229720544
44	1.225107745
45	1.21951877
46	1.214847275
47	1.210917033
48	1.206381509
49	1.202994287
50	1.198669696
51	1.19554133
52	1.192803416
53	1.189696147
54	1.186852977
55	1.183109989
56	1.178588185
57	1.175519257
58	1.171885338
59	1.169575637
60	1.16553655
61	1.160975178
62	1.157519717
63	1.155070789
64	1.150874299
65	1.147600114
66	1.143979506
67	1.141063437
68	1.138930531
69	1.13708691
70	1.133424707
71	1.131999569
72	1.129618943
73	1.126163385
74	1.124142479
75	1.122475257
76	1.120587931
77	1.118244604
78	1.116763678
79	1.115148537
80	1.114020093
81	1.112082236
82	1.110604691
83	1.109120569
84	1.106483527
85	1.103923318
86	1.100822454
87	1.099408579
88	1.097681977
89	1.096219743
90	1.094972658
91	1.093836329
92	1.091503235
93	1.08999703
94	1.088923866
95	1.088135797
96	1.086998072
97	1.085327518
98	1.084312994
99	1.083221178
100	1.082356694
101	1.080656318
102	1.07900187
103	1.077822445
104	1.076894055
105	1.075938308
106	1.075006803
107	1.07401125
108	1.072909576
109	1.072190747
110	1.070695086
111	1.06873016
112	1.068047506
113	1.066785532
114	1.065514248
115	1.063819007
116	1.063280458
117	1.062400516
118	1.061406627
119	1.060397045
120	1.059687343
121	1.058729199
122	1.056906929
123	1.056087468
124	1.054951822
125	1.053625569
126	1.052599657
127	1.052234004
128	1.051028953
129	1.049715512
130	1.049045025
131	1.048254666
132	1.047746123
133	1.047147919
134	1.046475289
135	1.045620972
136	1.044728056
137	1.044089855
138	1.043106825
139	1.041801399
140	1.040633956
141	1.039517328
142	1.038698076
143	1.037588523
144	1.036583159
145	1.035423963
146	1.034920282
147	1.034037623
148	1.033588254
149	1.033085573
150	1.032516079
151	1.031668494
152	1.030778676
153	1.029949852
154	1.028307305
155	1.028026081
156	1.027047757
157	1.024657673
158	1.024097515
159	1.02385466
160	1.023255361
161	1.022243402
162	1.021481311
163	1.020422309
164	1.019526955
165	1.018649044
166	1.017685862
167	1.01737456
168	1.017014054
169	1.01600094
170	1.015702386
171	1.015221163
172	1.014543034
173	1.01410756
174	1.012233042
175	1.011380238
176	1.010392716
177	1.008614853
178	1.008173388
179	1.007777934
180	1.007411864
181	1.006791846
182	1.006312939
183	1.005389497
184	1.004629248
185	1.004244405
186	1.003375035
187	1.002728398
188	1.002297731
189	1.001881929
190	1.000934996
191	1.000170433
192	0.9995032981
193	0.9990459023
194	0.9979833642
195	0.9971843812
196	0.9952209527
197	0.9947767758
198	0.9943395127
199	0.9938812854
